Jurisdiction,Year,IPCC_cat_code,Product,Tax_dummy,ETS_dummy,Tax_rate_excl_ex_clc,Tax_ex_rate,ETS_price
El Salvador,2017,1B2B3,,,,,,
El Salvador,2017,1B2B31,,,,,,
El Salvador,2017,1B2B32,,,,,,
El Salvador,2017,1B2B33,,,,,,
El Salvador,2017,1B2B34,,,,,,
El Salvador,2017,1B2B35,,,,,,
El Salvador,2017,1B2B36,,,,,,
El Salvador,2017,1B3,,,,,,
El Salvador,2017,1C,,,,,,
El Salvador,2017,1C1,,,,,,
El Salvador,2017,1C1A,,,,,,
El Salvador,2017,1C1B,,,,,,
El Salvador,2017,1C1C,,,,,,
El Salvador,2017,1C2,,,,,,
El Salvador,2017,1C2A,,,,,,
El Salvador,2017,1C2B,,,,,,
El Salvador,2017,1C3,,,,,,
El Salvador,2017,2,,,,,,
El Salvador,2017,20,,,,,,
El Salvador,2017,200,,,,,,
El Salvador,2017,2000,,,,,,
El Salvador,2017,20000,,,,,,
El Salvador,2017,200000,,,,,,
El Salvador,2017,2A,,,,,,
El Salvador,2017,2A1,,,,,,
El Salvador,2017,2A2,,,,,,
El Salvador,2017,2A3,,,,,,
El Salvador,2017,2A4,,,,,,
El Salvador,2017,2A4A,,,,,,
El Salvador,2017,2A4B,,,,,,
El Salvador,2017,2A4C,,,,,,
El Salvador,2017,2A4D,,,,,,
El Salvador,2017,2B,,,,,,
El Salvador,2017,2B1,,,,,,
El Salvador,2017,2B10,,,,,,
El Salvador,2017,2B2,,,,,,
El Salvador,2017,2B3,,,,,,
El Salvador,2017,2B4,,,,,,
El Salvador,2017,2B5,,,,,,
El Salvador,2017,2B6,,,,,,
El Salvador,2017,2B7,,,,,,
El Salvador,2017,2B8,,,,,,
El Salvador,2017,2B8A,,,,,,
El Salvador,2017,2B8B,,,,,,
El Salvador,2017,2B8C,,,,,,
El Salvador,2017,2B8D,,,,,,
El Salvador,2017,2B8E,,,,,,
El Salvador,2017,2B8F,,,,,,
El Salvador,2017,2B9,,,,,,
El Salvador,2017,2B9A,,,,,,
El Salvador,2017,2B9B,,,,,,
El Salvador,2017,2C,,,,,,
El Salvador,2017,2C1,,,,,,
El Salvador,2017,2C2,,,,,,
El Salvador,2017,2C3,,,,,,
El Salvador,2017,2C4,,,,,,
El Salvador,2017,2C5,,,,,,
El Salvador,2017,2C6,,,,,,
El Salvador,2017,2C7,,,,,,
El Salvador,2017,2D,,,,,,
El Salvador,2017,2D1,,,,,,
El Salvador,2017,2D2,,,,,,
El Salvador,2017,2D3,,,,,,
El Salvador,2017,2D4,,,,,,
El Salvador,2017,2E,,,,,,
El Salvador,2017,2F,,,,,,
El Salvador,2017,2F1,,,,,,
El Salvador,2017,2F2,,,,,,
El Salvador,2017,2F3,,,,,,
El Salvador,2017,2F4,,,,,,
El Salvador,2017,2F5,,,,,,
El Salvador,2017,2F6,,,,,,
El Salvador,2017,2G,,,,,,
El Salvador,2017,2G1,,,,,,
El Salvador,2017,2G2,,,,,,
El Salvador,2017,2G3,,,,,,
El Salvador,2017,2G4,,,,,,
El Salvador,2017,2H,,,,,,
El Salvador,2017,2H1,,,,,,
El Salvador,2017,2H2,,,,,,
El Salvador,2017,2H3,,,,,,
El Salvador,2017,3,,,,,,
El Salvador,2017,3A,,,,,,
El Salvador,2017,3A1,,,,,,
El Salvador,2017,3A2,,,,,,
El Salvador,2017,3B,,,,,,
El Salvador,2017,3B1,,,,,,
El Salvador,2017,3B1A,,,,,,
El Salvador,2017,3B1B,,,,,,
El Salvador,2017,3B2,,,,,,
El Salvador,2017,3B2A,,,,,,
El Salvador,2017,3B2B,,,,,,
El Salvador,2017,3B3,,,,,,
El Salvador,2017,3B3A,,,,,,
El Salvador,2017,3B3B,,,,,,
El Salvador,2017,3B4,,,,,,
El Salvador,2017,3B4A,,,,,,
El Salvador,2017,3B4B,,,,,,
El Salvador,2017,3B5,,,,,,
El Salvador,2017,3B5A,,,,,,
El Salvador,2017,3B5B,,,,,,
El Salvador,2017,3B6,,,,,,
El Salvador,2017,3B6A,,,,,,
El Salvador,2017,3B6B,,,,,,
El Salvador,2017,3B6B1,,,,,,
El Salvador,2017,3B6B2,,,,,,
El Salvador,2017,3B6B3,,,,,,
El Salvador,2017,3B6B4,,,,,,
El Salvador,2017,3B6B5,,,,,,
El Salvador,2017,3C,,,,,,
El Salvador,2017,3C1,,,,,,
El Salvador,2017,3C2,,,,,,
El Salvador,2017,3C3,,,,,,
El Salvador,2017,3C4,,,,,,
El Salvador,2017,3C5,,,,,,
El Salvador,2017,3C6,,,,,,
El Salvador,2017,3C7,,,,,,
El Salvador,2017,3C8,,,,,,
El Salvador,2017,3D,,,,,,
El Salvador,2017,3D1,,,,,,
El Salvador,2017,3D2,,,,,,
El Salvador,2017,4,,,,,,
El Salvador,2017,4A,,,,,,
El Salvador,2017,4A1,,,,,,
El Salvador,2017,4A2,,,,,,
El Salvador,2017,4A3,,,,,,
El Salvador,2017,4B,,,,,,
El Salvador,2017,4C,,,,,,
El Salvador,2017,4C1,,,,,,
El Salvador,2017,4C2,,,,,,
El Salvador,2017,4D,,,,,,
El Salvador,2017,4D1,,,,,,
El Salvador,2017,4D2,,,,,,
El Salvador,2017,4E,,,,,,
El Salvador,2017,5,,,,,,
El Salvador,2017,5A,,,,,,
El Salvador,2017,5A1,,,,,,
El Salvador,2017,5A2,,,,,,
El Salvador,2018,0,,,,,,
El Salvador,2018,1,,,,,,
El Salvador,2018,1A,Coal/peat,,,,,
El Salvador,2018,1A,Natural gas,,,,,
El Salvador,2018,1A,Oil,,,,,
El Salvador,2018,1A1,Coal/peat,,,,,
El Salvador,2018,1A1,Natural gas,,,,,
El Salvador,2018,1A1,Oil,,,,,
El Salvador,2018,1A1A,Coal/peat,,,,,
El Salvador,2018,1A1A,Natural gas,,,,,
El Salvador,2018,1A1A,Oil,,,,,
El Salvador,2018,1A1A1,Coal/peat,,,,,
El Salvador,2018,1A1A1,Natural gas,,,,,
El Salvador,2018,1A1A1,Oil,,,,,
El Salvador,2018,1A1A2,Coal/peat,,,,,
El Salvador,2018,1A1A2,Natural gas,,,,,
El Salvador,2018,1A1A2,Oil,,,,,
El Salvador,2018,1A1A3,Coal/peat,,,,,
El Salvador,2018,1A1A3,Natural gas,,,,,
El Salvador,2018,1A1A3,Oil,,,,,
El Salvador,2018,1A1B,Coal/peat,,,,,
El Salvador,2018,1A1B,Natural gas,,,,,
El Salvador,2018,1A1B,Oil,,,,,
El Salvador,2018,1A1C,Coal/peat,,,,,
El Salvador,2018,1A1C,Natural gas,,,,,
El Salvador,2018,1A1C,Oil,,,,,
El Salvador,2018,1A2,Coal/peat,,,,,
El Salvador,2018,1A2,Natural gas,,,,,
El Salvador,2018,1A2,Oil,,,,,
El Salvador,2018,1A2A,Coal/peat,,,,,
El Salvador,2018,1A2A,Natural gas,,,,,
El Salvador,2018,1A2A,Oil,,,,,
El Salvador,2018,1A2B,Coal/peat,,,,,
El Salvador,2018,1A2B,Natural gas,,,,,
El Salvador,2018,1A2B,Oil,,,,,
El Salvador,2018,1A2C,Coal/peat,,,,,
El Salvador,2018,1A2C,Natural gas,,,,,
El Salvador,2018,1A2C,Oil,,,,,
El Salvador,2018,1A2D,Coal/peat,,,,,
El Salvador,2018,1A2D,Natural gas,,,,,
El Salvador,2018,1A2D,Oil,,,,,
El Salvador,2018,1A2E,Coal/peat,,,,,
El Salvador,2018,1A2E,Natural gas,,,,,
El Salvador,2018,1A2E,Oil,,,,,
El Salvador,2018,1A2F,Coal/peat,,,,,
El Salvador,2018,1A2F,Natural gas,,,,,
El Salvador,2018,1A2F,Oil,,,,,
El Salvador,2018,1A2G,Coal/peat,,,,,
El Salvador,2018,1A2G,Natural gas,,,,,
El Salvador,2018,1A2G,Oil,,,,,
El Salvador,2018,1A2H,Coal/peat,,,,,
El Salvador,2018,1A2H,Natural gas,,,,,
El Salvador,2018,1A2H,Oil,,,,,
El Salvador,2018,1A2I,Coal/peat,,,,,
El Salvador,2018,1A2I,Natural gas,,,,,
El Salvador,2018,1A2I,Oil,,,,,
El Salvador,2018,1A2J,Coal/peat,,,,,
El Salvador,2018,1A2J,Natural gas,,,,,
El Salvador,2018,1A2J,Oil,,,,,
El Salvador,2018,1A2K,Coal/peat,,,,,
El Salvador,2018,1A2K,Natural gas,,,,,
El Salvador,2018,1A2K,Oil,,,,,
El Salvador,2018,1A2L,Coal/peat,,,,,
El Salvador,2018,1A2L,Natural gas,,,,,
El Salvador,2018,1A2L,Oil,,,,,
El Salvador,2018,1A2M,Coal/peat,,,,,
El Salvador,2018,1A2M,Natural gas,,,,,
El Salvador,2018,1A2M,Oil,,,,,
El Salvador,2018,1A3,Coal/peat,,,,,
El Salvador,2018,1A3,Natural gas,,,,,
El Salvador,2018,1A3,Oil,,,,,
El Salvador,2018,1A3A,Coal/peat,,,,,
El Salvador,2018,1A3A,Natural gas,,,,,
El Salvador,2018,1A3A,Oil,,,,,
El Salvador,2018,1A3A1,Coal/peat,,,,,
El Salvador,2018,1A3A1,Natural gas,,,,,
El Salvador,2018,1A3A1,Oil,,,,,
El Salvador,2018,1A3A2,Coal/peat,,,,,
El Salvador,2018,1A3A2,Natural gas,,,,,
El Salvador,2018,1A3A2,Oil,,,,,
El Salvador,2018,1A3B,Coal/peat,,,,,
El Salvador,2018,1A3B,Natural gas,,,,,
El Salvador,2018,1A3B,Oil,,,,,
El Salvador,2018,1A3C,Coal/peat,,,,,
El Salvador,2018,1A3C,Natural gas,,,,,
El Salvador,2018,1A3C,Oil,,,,,
El Salvador,2018,1A3D,Coal/peat,,,,,
El Salvador,2018,1A3D,Natural gas,,,,,
El Salvador,2018,1A3D,Oil,,,,,
El Salvador,2018,1A3D1,Coal/peat,,,,,
El Salvador,2018,1A3D1,Natural gas,,,,,
El Salvador,2018,1A3D1,Oil,,,,,
El Salvador,2018,1A3D2,Coal/peat,,,,,
El Salvador,2018,1A3D2,Natural gas,,,,,
El Salvador,2018,1A3D2,Oil,,,,,
El Salvador,2018,1A3E,Coal/peat,,,,,
El Salvador,2018,1A3E,Natural gas,,,,,
El Salvador,2018,1A3E,Oil,,,,,
El Salvador,2018,1A3E1,Coal/peat,,,,,
El Salvador,2018,1A3E1,Natural gas,,,,,
El Salvador,2018,1A3E1,Oil,,,,,
El Salvador,2018,1A4,Coal/peat,,,,,
El Salvador,2018,1A4,Natural gas,,,,,
El Salvador,2018,1A4,Oil,,,,,
El Salvador,2018,1A4A,Coal/peat,,,,,
El Salvador,2018,1A4A,Natural gas,,,,,
El Salvador,2018,1A4A,Oil,,,,,
El Salvador,2018,1A4B,Coal/peat,,,,,
El Salvador,2018,1A4B,Natural gas,,,,,
El Salvador,2018,1A4B,Oil,,,,,
El Salvador,2018,1A4C,Coal/peat,,,,,
El Salvador,2018,1A4C,Natural gas,,,,,
El Salvador,2018,1A4C,Oil,,,,,
El Salvador,2018,1A4C1,Coal/peat,,,,,
El Salvador,2018,1A4C1,Natural gas,,,,,
El Salvador,2018,1A4C1,Oil,,,,,
El Salvador,2018,1A4C2,Coal/peat,,,,,
El Salvador,2018,1A4C2,Natural gas,,,,,
El Salvador,2018,1A4C2,Oil,,,,,
El Salvador,2018,1A4C3,Coal/peat,,,,,
El Salvador,2018,1A4C3,Natural gas,,,,,
El Salvador,2018,1A4C3,Oil,,,,,
El Salvador,2018,1A5,Coal/peat,,,,,
El Salvador,2018,1A5,Natural gas,,,,,
El Salvador,2018,1A5,Oil,,,,,
El Salvador,2018,1A5A,Coal/peat,,,,,
El Salvador,2018,1A5A,Natural gas,,,,,
El Salvador,2018,1A5A,Oil,,,,,
El Salvador,2018,1A5B,Coal/peat,,,,,
El Salvador,2018,1A5B,Natural gas,,,,,
El Salvador,2018,1A5B,Oil,,,,,
El Salvador,2018,1A5C,Coal/peat,,,,,
El Salvador,2018,1A5C,Natural gas,,,,,
El Salvador,2018,1A5C,Oil,,,,,
El Salvador,2018,1B,,,,,,
El Salvador,2018,1B1,,,,,,
El Salvador,2018,1B1A,,,,,,
El Salvador,2018,1B1A1,,,,,,
El Salvador,2018,1B1A11,,,,,,
El Salvador,2018,1B1A12,,,,,,
El Salvador,2018,1B1A13,,,,,,
El Salvador,2018,1B1A14,,,,,,
El Salvador,2018,1B1A2,,,,,,
El Salvador,2018,1B1A21,,,,,,
El Salvador,2018,1B1A22,,,,,,
El Salvador,2018,1B1B,,,,,,
El Salvador,2018,1B2,,,,,,
El Salvador,2018,1B2A,,,,,,
El Salvador,2018,1B2A1,,,,,,
El Salvador,2018,1B2A2,,,,,,
El Salvador,2018,1B2A3,,,,,,
El Salvador,2018,1B2A31,,,,,,
El Salvador,2018,1B2A32,,,,,,
El Salvador,2018,1B2A33,,,,,,
El Salvador,2018,1B2A34,,,,,,
El Salvador,2018,1B2A35,,,,,,
El Salvador,2018,1B2A36,,,,,,
El Salvador,2018,1B2B,,,,,,
El Salvador,2018,1B2B1,,,,,,
El Salvador,2018,1B2B2,,,,,,
El Salvador,2018,1B2B3,,,,,,
El Salvador,2018,1B2B31,,,,,,
El Salvador,2018,1B2B32,,,,,,
El Salvador,2018,1B2B33,,,,,,
El Salvador,2018,1B2B34,,,,,,
El Salvador,2018,1B2B35,,,,,,
El Salvador,2018,1B2B36,,,,,,
El Salvador,2018,1B3,,,,,,
El Salvador,2018,1C,,,,,,
El Salvador,2018,1C1,,,,,,
El Salvador,2018,1C1A,,,,,,
El Salvador,2018,1C1B,,,,,,
El Salvador,2018,1C1C,,,,,,
El Salvador,2018,1C2,,,,,,
El Salvador,2018,1C2A,,,,,,
El Salvador,2018,1C2B,,,,,,
El Salvador,2018,1C3,,,,,,
El Salvador,2018,2,,,,,,
El Salvador,2018,20,,,,,,
El Salvador,2018,200,,,,,,
El Salvador,2018,2000,,,,,,
El Salvador,2018,20000,,,,,,
El Salvador,2018,200000,,,,,,
El Salvador,2018,2A,,,,,,
El Salvador,2018,2A1,,,,,,
El Salvador,2018,2A2,,,,,,
El Salvador,2018,2A3,,,,,,
El Salvador,2018,2A4,,,,,,
El Salvador,2018,2A4A,,,,,,
El Salvador,2018,2A4B,,,,,,
El Salvador,2018,2A4C,,,,,,
El Salvador,2018,2A4D,,,,,,
El Salvador,2018,2B,,,,,,
El Salvador,2018,2B1,,,,,,
El Salvador,2018,2B10,,,,,,
El Salvador,2018,2B2,,,,,,
El Salvador,2018,2B3,,,,,,
El Salvador,2018,2B4,,,,,,
El Salvador,2018,2B5,,,,,,
El Salvador,2018,2B6,,,,,,
El Salvador,2018,2B7,,,,,,
El Salvador,2018,2B8,,,,,,
El Salvador,2018,2B8A,,,,,,
El Salvador,2018,2B8B,,,,,,
El Salvador,2018,2B8C,,,,,,
El Salvador,2018,2B8D,,,,,,
El Salvador,2018,2B8E,,,,,,
El Salvador,2018,2B8F,,,,,,
El Salvador,2018,2B9,,,,,,
El Salvador,2018,2B9A,,,,,,
El Salvador,2018,2B9B,,,,,,
El Salvador,2018,2C,,,,,,
El Salvador,2018,2C1,,,,,,
El Salvador,2018,2C2,,,,,,
El Salvador,2018,2C3,,,,,,
El Salvador,2018,2C4,,,,,,
El Salvador,2018,2C5,,,,,,
El Salvador,2018,2C6,,,,,,
El Salvador,2018,2C7,,,,,,
El Salvador,2018,2D,,,,,,
El Salvador,2018,2D1,,,,,,
El Salvador,2018,2D2,,,,,,
El Salvador,2018,2D3,,,,,,
El Salvador,2018,2D4,,,,,,
El Salvador,2018,2E,,,,,,
El Salvador,2018,2F,,,,,,
El Salvador,2018,2F1,,,,,,
El Salvador,2018,2F2,,,,,,
El Salvador,2018,2F3,,,,,,
El Salvador,2018,2F4,,,,,,
El Salvador,2018,2F5,,,,,,
El Salvador,2018,2F6,,,,,,
El Salvador,2018,2G,,,,,,
El Salvador,2018,2G1,,,,,,
El Salvador,2018,2G2,,,,,,
El Salvador,2018,2G3,,,,,,
El Salvador,2018,2G4,,,,,,
El Salvador,2018,2H,,,,,,
El Salvador,2018,2H1,,,,,,
El Salvador,2018,2H2,,,,,,
El Salvador,2018,2H3,,,,,,
El Salvador,2018,3,,,,,,
El Salvador,2018,3A,,,,,,
El Salvador,2018,3A1,,,,,,
El Salvador,2018,3A2,,,,,,
El Salvador,2018,3B,,,,,,
El Salvador,2018,3B1,,,,,,
El Salvador,2018,3B1A,,,,,,
El Salvador,2018,3B1B,,,,,,
El Salvador,2018,3B2,,,,,,
El Salvador,2018,3B2A,,,,,,
El Salvador,2018,3B2B,,,,,,
El Salvador,2018,3B3,,,,,,
El Salvador,2018,3B3A,,,,,,
El Salvador,2018,3B3B,,,,,,
El Salvador,2018,3B4,,,,,,
El Salvador,2018,3B4A,,,,,,
El Salvador,2018,3B4B,,,,,,
El Salvador,2018,3B5,,,,,,
El Salvador,2018,3B5A,,,,,,
El Salvador,2018,3B5B,,,,,,
El Salvador,2018,3B6,,,,,,
El Salvador,2018,3B6A,,,,,,
El Salvador,2018,3B6B,,,,,,
El Salvador,2018,3B6B1,,,,,,
El Salvador,2018,3B6B2,,,,,,
El Salvador,2018,3B6B3,,,,,,
El Salvador,2018,3B6B4,,,,,,
El Salvador,2018,3B6B5,,,,,,
El Salvador,2018,3C,,,,,,
El Salvador,2018,3C1,,,,,,
El Salvador,2018,3C2,,,,,,
El Salvador,2018,3C3,,,,,,
El Salvador,2018,3C4,,,,,,
El Salvador,2018,3C5,,,,,,
El Salvador,2018,3C6,,,,,,
El Salvador,2018,3C7,,,,,,
El Salvador,2018,3C8,,,,,,
El Salvador,2018,3D,,,,,,
El Salvador,2018,3D1,,,,,,
El Salvador,2018,3D2,,,,,,
El Salvador,2018,4,,,,,,
El Salvador,2018,4A,,,,,,
El Salvador,2018,4A1,,,,,,
El Salvador,2018,4A2,,,,,,
El Salvador,2018,4A3,,,,,,
El Salvador,2018,4B,,,,,,
El Salvador,2018,4C,,,,,,
El Salvador,2018,4C1,,,,,,
El Salvador,2018,4C2,,,,,,
El Salvador,2018,4D,,,,,,
El Salvador,2018,4D1,,,,,,
El Salvador,2018,4D2,,,,,,
El Salvador,2018,4E,,,,,,
El Salvador,2018,5,,,,,,
El Salvador,2018,5A,,,,,,
El Salvador,2018,5A1,,,,,,
El Salvador,2018,5A2,,,,,,
El Salvador,2019,0,,,,,,
El Salvador,2019,1,,,,,,
El Salvador,2019,1A,Coal/peat,,,,,
El Salvador,2019,1A,Natural gas,,,,,
El Salvador,2019,1A,Oil,,,,,
El Salvador,2019,1A1,Coal/peat,,,,,
El Salvador,2019,1A1,Natural gas,,,,,
El Salvador,2019,1A1,Oil,,,,,
El Salvador,2019,1A1A,Coal/peat,,,,,
El Salvador,2019,1A1A,Natural gas,,,,,
El Salvador,2019,1A1A,Oil,,,,,
El Salvador,2019,1A1A1,Coal/peat,,,,,
El Salvador,2019,1A1A1,Natural gas,,,,,
El Salvador,2019,1A1A1,Oil,,,,,
El Salvador,2019,1A1A2,Coal/peat,,,,,
El Salvador,2019,1A1A2,Natural gas,,,,,
El Salvador,2019,1A1A2,Oil,,,,,
El Salvador,2019,1A1A3,Coal/peat,,,,,
El Salvador,2019,1A1A3,Natural gas,,,,,
El Salvador,2019,1A1A3,Oil,,,,,
El Salvador,2019,1A1B,Coal/peat,,,,,
El Salvador,2019,1A1B,Natural gas,,,,,
El Salvador,2019,1A1B,Oil,,,,,
El Salvador,2019,1A1C,Coal/peat,,,,,
El Salvador,2019,1A1C,Natural gas,,,,,
El Salvador,2019,1A1C,Oil,,,,,
El Salvador,2019,1A2,Coal/peat,,,,,
El Salvador,2019,1A2,Natural gas,,,,,
El Salvador,2019,1A2,Oil,,,,,
El Salvador,2019,1A2A,Coal/peat,,,,,
El Salvador,2019,1A2A,Natural gas,,,,,
El Salvador,2019,1A2A,Oil,,,,,
El Salvador,2019,1A2B,Coal/peat,,,,,
El Salvador,2019,1A2B,Natural gas,,,,,
El Salvador,2019,1A2B,Oil,,,,,
El Salvador,2019,1A2C,Coal/peat,,,,,
El Salvador,2019,1A2C,Natural gas,,,,,
El Salvador,2019,1A2C,Oil,,,,,
El Salvador,2019,1A2D,Coal/peat,,,,,
El Salvador,2019,1A2D,Natural gas,,,,,
El Salvador,2019,1A2D,Oil,,,,,
El Salvador,2019,1A2E,Coal/peat,,,,,
El Salvador,2019,1A2E,Natural gas,,,,,
El Salvador,2019,1A2E,Oil,,,,,
El Salvador,2019,1A2F,Coal/peat,,,,,
El Salvador,2019,1A2F,Natural gas,,,,,
El Salvador,2019,1A2F,Oil,,,,,
El Salvador,2019,1A2G,Coal/peat,,,,,
El Salvador,2019,1A2G,Natural gas,,,,,
El Salvador,2019,1A2G,Oil,,,,,
El Salvador,2019,1A2H,Coal/peat,,,,,
El Salvador,2019,1A2H,Natural gas,,,,,
El Salvador,2019,1A2H,Oil,,,,,
El Salvador,2019,1A2I,Coal/peat,,,,,
El Salvador,2019,1A2I,Natural gas,,,,,
El Salvador,2019,1A2I,Oil,,,,,
El Salvador,2019,1A2J,Coal/peat,,,,,
El Salvador,2019,1A2J,Natural gas,,,,,
El Salvador,2019,1A2J,Oil,,,,,
El Salvador,2019,1A2K,Coal/peat,,,,,
El Salvador,2019,1A2K,Natural gas,,,,,
El Salvador,2019,1A2K,Oil,,,,,
El Salvador,2019,1A2L,Coal/peat,,,,,
El Salvador,2019,1A2L,Natural gas,,,,,
El Salvador,2019,1A2L,Oil,,,,,
El Salvador,2019,1A2M,Coal/peat,,,,,
El Salvador,2019,1A2M,Natural gas,,,,,
El Salvador,2019,1A2M,Oil,,,,,
El Salvador,2019,1A3,Coal/peat,,,,,
El Salvador,2019,1A3,Natural gas,,,,,
El Salvador,2019,1A3,Oil,,,,,
El Salvador,2019,1A3A,Coal/peat,,,,,
El Salvador,2019,1A3A,Natural gas,,,,,
El Salvador,2019,1A3A,Oil,,,,,
El Salvador,2019,1A3A1,Coal/peat,,,,,
El Salvador,2019,1A3A1,Natural gas,,,,,
El Salvador,2019,1A3A1,Oil,,,,,
El Salvador,2019,1A3A2,Coal/peat,,,,,
El Salvador,2019,1A3A2,Natural gas,,,,,
El Salvador,2019,1A3A2,Oil,,,,,
El Salvador,2019,1A3B,Coal/peat,,,,,
El Salvador,2019,1A3B,Natural gas,,,,,
El Salvador,2019,1A3B,Oil,,,,,
El Salvador,2019,1A3C,Coal/peat,,,,,
El Salvador,2019,1A3C,Natural gas,,,,,
El Salvador,2019,1A3C,Oil,,,,,
El Salvador,2019,1A3D,Coal/peat,,,,,
El Salvador,2019,1A3D,Natural gas,,,,,
El Salvador,2019,1A3D,Oil,,,,,
El Salvador,2019,1A3D1,Coal/peat,,,,,
El Salvador,2019,1A3D1,Natural gas,,,,,
El Salvador,2019,1A3D1,Oil,,,,,
El Salvador,2019,1A3D2,Coal/peat,,,,,
El Salvador,2019,1A3D2,Natural gas,,,,,
El Salvador,2019,1A3D2,Oil,,,,,
El Salvador,2019,1A3E,Coal/peat,,,,,
El Salvador,2019,1A3E,Natural gas,,,,,
El Salvador,2019,1A3E,Oil,,,,,
El Salvador,2019,1A3E1,Coal/peat,,,,,
El Salvador,2019,1A3E1,Natural gas,,,,,
El Salvador,2019,1A3E1,Oil,,,,,
El Salvador,2019,1A4,Coal/peat,,,,,
El Salvador,2019,1A4,Natural gas,,,,,
El Salvador,2019,1A4,Oil,,,,,
El Salvador,2019,1A4A,Coal/peat,,,,,
El Salvador,2019,1A4A,Natural gas,,,,,
El Salvador,2019,1A4A,Oil,,,,,
El Salvador,2019,1A4B,Coal/peat,,,,,
El Salvador,2019,1A4B,Natural gas,,,,,
El Salvador,2019,1A4B,Oil,,,,,
El Salvador,2019,1A4C,Coal/peat,,,,,
El Salvador,2019,1A4C,Natural gas,,,,,
El Salvador,2019,1A4C,Oil,,,,,
El Salvador,2019,1A4C1,Coal/peat,,,,,
El Salvador,2019,1A4C1,Natural gas,,,,,
El Salvador,2019,1A4C1,Oil,,,,,
El Salvador,2019,1A4C2,Coal/peat,,,,,
El Salvador,2019,1A4C2,Natural gas,,,,,
El Salvador,2019,1A4C2,Oil,,,,,
El Salvador,2019,1A4C3,Coal/peat,,,,,
El Salvador,2019,1A4C3,Natural gas,,,,,
El Salvador,2019,1A4C3,Oil,,,,,
El Salvador,2019,1A5,Coal/peat,,,,,
El Salvador,2019,1A5,Natural gas,,,,,
El Salvador,2019,1A5,Oil,,,,,
El Salvador,2019,1A5A,Coal/peat,,,,,
El Salvador,2019,1A5A,Natural gas,,,,,
El Salvador,2019,1A5A,Oil,,,,,
El Salvador,2019,1A5B,Coal/peat,,,,,
El Salvador,2019,1A5B,Natural gas,,,,,
El Salvador,2019,1A5B,Oil,,,,,
El Salvador,2019,1A5C,Coal/peat,,,,,
El Salvador,2019,1A5C,Natural gas,,,,,
El Salvador,2019,1A5C,Oil,,,,,
El Salvador,2019,1B,,,,,,
El Salvador,2019,1B1,,,,,,
El Salvador,2019,1B1A,,,,,,
El Salvador,2019,1B1A1,,,,,,
El Salvador,2019,1B1A11,,,,,,
El Salvador,2019,1B1A12,,,,,,
El Salvador,2019,1B1A13,,,,,,
El Salvador,2019,1B1A14,,,,,,
El Salvador,2019,1B1A2,,,,,,
El Salvador,2019,1B1A21,,,,,,
El Salvador,2019,1B1A22,,,,,,
El Salvador,2019,1B1B,,,,,,
El Salvador,2019,1B2,,,,,,
El Salvador,2019,1B2A,,,,,,
El Salvador,2019,1B2A1,,,,,,
El Salvador,2019,1B2A2,,,,,,
El Salvador,2019,1B2A3,,,,,,
El Salvador,2019,1B2A31,,,,,,
El Salvador,2019,1B2A32,,,,,,
El Salvador,2019,1B2A33,,,,,,
El Salvador,2019,1B2A34,,,,,,
El Salvador,2019,1B2A35,,,,,,
El Salvador,2019,1B2A36,,,,,,
El Salvador,2019,1B2B,,,,,,
El Salvador,2019,1B2B1,,,,,,
El Salvador,2019,1B2B2,,,,,,
El Salvador,2019,1B2B3,,,,,,
El Salvador,2019,1B2B31,,,,,,
El Salvador,2019,1B2B32,,,,,,
El Salvador,2019,1B2B33,,,,,,
El Salvador,2019,1B2B34,,,,,,
El Salvador,2019,1B2B35,,,,,,
El Salvador,2019,1B2B36,,,,,,
El Salvador,2019,1B3,,,,,,
El Salvador,2019,1C,,,,,,
El Salvador,2019,1C1,,,,,,
El Salvador,2019,1C1A,,,,,,
El Salvador,2019,1C1B,,,,,,
El Salvador,2019,1C1C,,,,,,
El Salvador,2019,1C2,,,,,,
El Salvador,2019,1C2A,,,,,,
El Salvador,2019,1C2B,,,,,,
El Salvador,2019,1C3,,,,,,
El Salvador,2019,2,,,,,,
El Salvador,2019,20,,,,,,
El Salvador,2019,200,,,,,,
El Salvador,2019,2000,,,,,,
El Salvador,2019,20000,,,,,,
El Salvador,2019,200000,,,,,,
El Salvador,2019,2A,,,,,,
El Salvador,2019,2A1,,,,,,
El Salvador,2019,2A2,,,,,,
El Salvador,2019,2A3,,,,,,
El Salvador,2019,2A4,,,,,,
El Salvador,2019,2A4A,,,,,,
El Salvador,2019,2A4B,,,,,,
El Salvador,2019,2A4C,,,,,,
El Salvador,2019,2A4D,,,,,,
El Salvador,2019,2B,,,,,,
El Salvador,2019,2B1,,,,,,
El Salvador,2019,2B10,,,,,,
El Salvador,2019,2B2,,,,,,
El Salvador,2019,2B3,,,,,,
El Salvador,2019,2B4,,,,,,
El Salvador,2019,2B5,,,,,,
El Salvador,2019,2B6,,,,,,
El Salvador,2019,2B7,,,,,,
El Salvador,2019,2B8,,,,,,
El Salvador,2019,2B8A,,,,,,
El Salvador,2019,2B8B,,,,,,
El Salvador,2019,2B8C,,,,,,
El Salvador,2019,2B8D,,,,,,
El Salvador,2019,2B8E,,,,,,
El Salvador,2019,2B8F,,,,,,
El Salvador,2019,2B9,,,,,,
El Salvador,2019,2B9A,,,,,,
